#2026-07-23 20:38:50 ---
#Time	01/进气温度/---	01/废气温度1，气缸列1/---	01/微粒过滤器之前的废气温度/---	01/颗粒过滤器中的废气温度，计算所得/---	01/气缸列1颗粒过滤器入口，温度传感器1，原始值/---	01/气缸列1颗粒过滤器出口，温度传感器1，原始值/---	01/颗粒过滤器，颗粒过滤器上游的相对压力/---	01/颗粒过滤器，油灰质量（克）/---	01/颗粒过滤器，负荷级/---	01/发动机转速/---	01/车速/---	01/微粒过滤器，压差/---	01/颗粒过滤器，测得的机油灰分负荷/---	01/颗粒过滤器，测得的积碳负荷/---	01/颗粒过滤器，计算出的积碳负荷/---	01/颗粒过滤器，水分负荷/---	01/相对负荷值/---	01/微粒过滤器，计算的碳微粒质量/---	01/颗粒过滤器，积灰量比例/---	01/颗粒过滤器，炭灰量比例/---	01/催化转化器温度，模型/---	01/催化转换器后的气缸列 1 氧传感器，计算所得废气温度/---	01/增压压力，实际值/---	
#Time	01----	01----	01----	01----	01----	01----	01----	01----	01----	01----	01----	01----	01----	01----	01----	01----	01----	01----	01----	01----	01----	01----	01----	
#ms	℃	℃	℃	℃	℃	℃	hPa	g	-	rpm	km/h	hPa	%	%	%	%	%	mg	-	-	℃	℃	hPa	
14027	47	31.9	34.2	33.6	34.5	32.5	1.75	4.57	0	912	0	0.00	5.5	20.4	0.0	0.4	32.53	57	1.2758	2.0273	30	31.94	960.86	
14610	47	31.9	34.5	33.8	34.5	32.8	1.94	4.57	0	888	0	0.00	5.5	20.4	0.0	0.4	31.38	57	1.2758	2.0273	30	31.94	960.16	
15186	47	31.9	34.8	33.8	34.8	32.8	2.12	4.57	0	851	0	0.00	5.5	20.4	0.0	0.4	30.45	57	1.2758	2.0273	30	31.94	959.30	
15711	46	31.9	34.8	33.6	34.8	32.5	1.94	4.57	0	795	0	0.31	5.5	20.4	0.0	0.4	29.88	57	1.2758	2.0273	30	31.94	957.58	
16356	46	31.9	34.8	33.8	34.8	32.8	1.75	4.57	0	763	0	0.31	5.5	20.4	0.0	0.4	30.70	57	1.2758	2.0273	30	31.94	956.33	
17039	46	31.9	35.2	33.6	35.2	32.8	1.75	4.57	0	736	0	0.31	5.5	20.4	0.0	0.4	29.72	57	1.2758	2.0273	30	31.94	955.47	
17560	46	31.9	35.2	33.8	35.2	32.5	1.75	4.57	0	751	0	0.31	5.5	20.4	0.0	0.4	29.60	57	1.2758	2.0273	30	31.94	955.23	
18164	46	32.0	35.5	34.1	35.5	32.8	1.75	4.57	0	781	0	0.31	5.5	20.4	0.0	0.4	29.79	58	1.2758	2.0273	30	31.94	954.30	
18699	46	32.0	35.2	34.1	35.5	32.8	1.94	4.57	0	867	0	0.31	5.5	20.4	0.0	0.4	27.98	58	1.2758	2.0273	30	31.94	954.06	
19270	46	32.0	35.5	34.1	35.5	32.5	1.94	4.57	0	898	0	0.00	5.5	20.4	0.0	0.4	31.29	58	1.2758	2.0273	30	31.94	954.84	
19812	46	32.1	35.5	34.0	35.5	32.5	1.94	4.57	0	933	0	0.31	5.5	20.4	0.0	0.4	29.98	58	1.2758	2.0273	30	31.94	957.11	
